年度,行政区划,债务类型,金额,单位
2010年,县36,债务合计,651157,万元
2009年,县36,债务合计,567715,万元
2008年,县36,债务合计,389191,万元
2007年,县36,债务合计,425312,万元
2002年,县36,债务合计,186613,万元
1998年,县36,债务合计,43593,万元
1997年,县36,债务合计,17829,万元
2010年,县37,债务合计,7759,万元
2009年,县37,债务合计,5986,万元
2008年,县37,债务合计,4296,万元
2007年,县37,债务合计,4786,万元
2002年,县37,债务合计,3181,万元
1998年,县37,债务合计,3181,万元
1997年,县37,债务合计,3171,万元
2010年,县38,债务合计,6901,万元
2009年,县38,债务合计,6606,万元
2008年,县38,债务合计,2617,万元
2007年,县38,债务合计,2758,万元
2002年,县38,债务合计,2055,万元
1998年,县38,债务合计,76,万元
1997年,县38,债务合计,83,万元
2010年,县39,债务合计,5490,万元
2009年,县39,债务合计,4860,万元
2008年,县39,债务合计,2879,万元
2007年,县39,债务合计,3184,万元
2002年,县39,债务合计,1742,万元
1998年,县39,债务合计,1090,万元
1997年,县39,债务合计,744,万元
2010年,县40,债务合计,39143,万元
2009年,县40,债务合计,32484,万元
2008年,县40,债务合计,18272,万元
2007年,县40,债务合计,19128,万元
2002年,县40,债务合计,5881,万元
1998年,县40,债务合计,1782,万元
1997年,县40,债务合计,651,万元
2010年,县41,债务合计,97529,万元
2009年,县41,债务合计,79589,万元
2008年,县41,债务合计,47696,万元
2007年,县41,债务合计,32633,万元
2002年,县41,债务合计,11595,万元
1998年,县41,债务合计,4723,万元
1997年,县41,债务合计,4522,万元
2010年,县42,债务合计,50273,万元
2009年,县42,债务合计,29944,万元
2008年,县42,债务合计,21240,万元
2007年,县42,债务合计,13059,万元
2002年,县42,债务合计,2939,万元
1998年,县42,债务合计,51,万元
1997年,县42,债务合计,40,万元
2010年,县43,债务合计,32192,万元
2009年,县43,债务合计,27236,万元
2008年,县43,债务合计,21701,万元
2007年,县43,债务合计,18995,万元
2002年,县43,债务合计,14952,万元
1998年,县43,债务合计,3881,万元
1997年,县43,债务合计,3893,万元
2010年,县44,债务合计,46520,万元
2009年,县44,债务合计,27370,万元
2008年,县44,债务合计,21254,万元
2007年,县44,债务合计,12776,万元
2002年,县44,债务合计,3464,万元
1998年,县44,债务合计,1937,万元
1997年,县44,债务合计,1904,万元
2010年,县45,债务合计,62207,万元
2009年,县45,债务合计,44972,万元
2008年,县45,债务合计,35453,万元
2007年,县45,债务合计,35662,万元
2002年,县45,债务合计,7835,万元
1998年,县45,债务合计,603,万元
1997年,县45,债务合计,374,万元
2010年,县46,债务合计,90886,万元
2009年,县46,债务合计,45422,万元
2008年,县46,债务合计,33665,万元
2007年,县46,债务合计,11491,万元
2002年,县46,债务合计,5020,万元
1998年,县46,债务合计,2206,万元
1997年,县46,债务合计,1486,万元
2010年,县47,债务合计,208728,万元
2009年,县47,债务合计,156050,万元
2008年,县47,债务合计,75327,万元
2007年,县47,债务合计,66922,万元
2002年,县47,债务合计,5545,万元
1998年,县47,债务合计,4419,万元
1997年,县47,债务合计,4340,万元
2010年,县48,债务合计,97463,万元
2009年,县48,债务合计,86464,万元
2008年,县48,债务合计,55094,万元
2007年,县48,债务合计,49357,万元
2002年,县48,债务合计,7799,万元
1998年,县48,债务合计,3810,万元
1997年,县48,债务合计,3907,万元
2010年,县49,债务合计,40494,万元
2009年,县49,债务合计,31303,万元
2008年,县49,债务合计,11927,万元
2007年,县49,债务合计,8390,万元
2002年,县49,债务合计,1498,万元
1998年,县49,债务合计,984,万元
1997年,县49,债务合计,652,万元
2010年,全市合计,债务合计,1436742,万元
2009年,全市合计,债务合计,1146001,万元
2008年,全市合计,债务合计,740612,万元
2007年,全市合计,债务合计,704453,万元
2002年,全市合计,债务合计,260119,万元
2010年,县36,一类债务,449369,万元
2009年,县36,一类债务,412235,万元
2008年,县36,一类债务,231336,万元
2007年,县36,一类债务,213347,万元
2002年,县36,一类债务,59541,万元
1998年,县36,一类债务,23473,万元
1997年,县36,一类债务,12323,万元
2010年,县37,一类债务,3782,万元
2009年,县37,一类债务,3159,万元
2008年,县37,一类债务,1469,万元
2007年,县37,一类债务,1959,万元
2002年,县37,一类债务,354,万元
1998年,县37,一类债务,354,万元
1997年,县37,一类债务,344,万元
2010年,县38,一类债务,6315,万元
2009年,县38,一类债务,5514,万元
2008年,县38,一类债务,2517,万元
2007年,县38,一类债务,2654,万元
2002年,县38,一类债务,1982,万元
1998年,县38,一类债务,0,万元
1997年,县38,一类债务,0,万元
2010年,县39,一类债务,5227,万元
2009年,县39,一类债务,4607,万元
2008年,县39,一类债务,2626,万元
2007年,县39,一类债务,2931,万元
2002年,县39,一类债务,1489,万元
1998年,县39,一类债务,837,万元
1997年,县39,一类债务,491,万元
2010年,县40,一类债务,38167,万元
2009年,县40,一类债务,31325,万元
2008年,县40,一类债务,16809,万元
2007年,县40,一类债务,17482,万元
2002年,县40,一类债务,3691,万元
1998年,县40,一类债务,282,万元
1997年,县40,一类债务,213,万元
2010年,县41,一类债务,73098,万元
2009年,县41,一类债务,51768,万元
2008年,县41,一类债务,31709,万元
2007年,县41,一类债务,25033,万元
2002年,县41,一类债务,9195,万元
1998年,县41,一类债务,4723,万元
1997年,县41,一类债务,4522,万元
2010年,县42,一类债务,49609,万元
2009年,县42,一类债务,29272,万元
2008年,县42,一类债务,20319,万元
2007年,县42,一类债务,11981,万元
2002年,县42,一类债务,2457,万元
1998年,县42,一类债务,32,万元
1997年,县42,一类债务,21,万元
2010年,县43,一类债务,18194,万元
2009年,县43,一类债务,14366,万元
2008年,县43,一类债务,9899,万元
2007年,县43,一类债务,4997,万元
2002年,县43,一类债务,6797,万元
1998年,县43,一类债务,3881,万元
1997年,县43,一类债务,3893,万元
2010年,县44,一类债务,32194,万元
2009年,县44,一类债务,15415,万元
2008年,县44,一类债务,9450,万元
2007年,县44,一类债务,8752,万元
2002年,县44,一类债务,3464,万元
1998年,县44,一类债务,1937,万元
1997年,县44,一类债务,1904,万元
2010年,县45,一类债务,32529,万元
2009年,县45,一类债务,17828,万元
2008年,县45,一类债务,10640,万元
2007年,县45,一类债务,10949,万元
2002年,县45,一类债务,685,万元
1998年,县45,一类债务,603,万元
1997年,县45,一类债务,374,万元
2010年,县46,一类债务,88763,万元
2009年,县46,一类债务,43234,万元
2008年,县46,一类债务,31402,万元
2007年,县46,一类债务,9389,万元
2002年,县46,一类债务,2540,万元
1998年,县46,一类债务,2206,万元
1997年,县46,一类债务,1486,万元
2010年,县47,一类债务,160975,万元
2009年,县47,一类债务,122007,万元
2008年,县47,一类债务,54214,万元
2007年,县47,一类债务,50404,万元
2002年,县47,一类债务,3335,万元
1998年,县47,一类债务,4269,万元
1997年,县47,一类债务,4200,万元
2010年,县48,一类债务,93838,万元
2009年,县48,一类债务,83151,万元
2008年,县48,一类债务,51449,万元
2007年,县48,一类债务,45377,万元
2002年,县48,一类债务,4050,万元
1998年,县48,一类债务,564,万元
1997年,县48,一类债务,630,万元
2010年,县49,一类债务,35628,万元
2009年,县49,一类债务,28547,万元
2008年,县49,一类债务,9187,万元
2007年,县49,一类债务,4884,万元
2002年,县49,一类债务,1417,万元
1998年,县49,一类债务,869,万元
1997年,县49,一类债务,652,万元
2010年,全市合计,一类债务,1087688,万元
2009年,全市合计,一类债务,862428,万元
2008年,全市合计,一类债务,483026,万元
2007年,全市合计,一类债务,410139,万元
2002年,全市合计,一类债务,10997,万元
2010年,县36,二类债务,42198,万元
2009年,县36,二类债务,43975,万元
2008年,县36,二类债务,59015,万元
2007年,县36,二类债务,96457,万元
2002年,县36,二类债务,74133,万元
1998年,县36,二类债务,6250,万元
1997年,县36,二类债务,5300,万元
2010年,县37,二类债务,3977,万元
2009年,县37,二类债务,2827,万元
2008年,县37,二类债务,2827,万元
2007年,县37,二类债务,2827,万元
2002年,县37,二类债务,2827,万元
1998年,县37,二类债务,2827,万元
1997年,县37,二类债务,2827,万元
2010年,县38,二类债务,500,万元
2009年,县38,二类债务,1000,万元
2008年,县38,二类债务,0,万元
2007年,县38,二类债务,0,万元
2002年,县38,二类债务,0,万元
1998年,县38,二类债务,0,万元
1997年,县38,二类债务,0,万元
2010年,县39,二类债务,0,万元
2009年,县39,二类债务,0,万元
2008年,县39,二类债务,0,万元
2007年,县39,二类债务,0,万元
2002年,县39,二类债务,0,万元
1998年,县39,二类债务,0,万元
1997年,县39,二类债务,0,万元
2010年,县40,二类债务,716,万元
2009年,县40,二类债务,899,万元
2008年,县40,二类债务,1201,万元
2007年,县40,二类债务,1384,万元
2002年,县40,二类债务,1874,万元
1998年,县40,二类债务,1179,万元
1997年,县40,二类债务,117,万元
2010年,县41,二类债务,2011,万元
2009年,县41,二类债务,2491,万元
2008年,县41,二类债务,2867,万元
2007年,县41,二类债务,2720,万元
2002年,县41,二类债务,1200,万元
1998年,县41,二类债务,0,万元
1997年,县41,二类债务,0,万元
2010年,县42,二类债务,262,万元
2009年,县42,二类债务,262,万元
2008年,县42,二类债务,507,万元
2007年,县42,二类债务,611,万元
2002年,县42,二类债务,465,万元
1998年,县42,二类债务,0,万元
1997年,县42,二类债务,0,万元
2010年,县43,二类债务,2519,万元
2009年,县43,二类债务,2519,万元
2008年,县43,二类债务,2519,万元
2007年,县43,二类债务,2258,万元
2002年,县43,二类债务,1230,万元
1998年,县43,二类债务,0,万元
1997年,县43,二类债务,0,万元
2010年,县44,二类债务,12087,万元
2009年,县44,二类债务,11955,万元
2008年,县44,二类债务,11804,万元
2007年,县44,二类债务,2024,万元
2002年,县44,二类债务,0,万元
1998年,县44,二类债务,0,万元
1997年,县44,二类债务,0,万元
2010年,县45,二类债务,29678,万元
2009年,县45,二类债务,27144,万元
2008年,县45,二类债务,24813,万元
2007年,县45,二类债务,24713,万元
2002年,县45,二类债务,7150,万元
1998年,县45,二类债务,0,万元
1997年,县45,二类债务,0,万元
2010年,县46,二类债务,762,万元
2009年,县46,二类债务,827,万元
2008年,县46,二类债务,902,万元
2007年,县46,二类债务,741,万元
2002年,县46,二类债务,1600,万元
1998年,县46,二类债务,0,万元
1997年,县46,二类债务,0,万元
2010年,县47,二类债务,43933,万元
2009年,县47,二类债务,30523,万元
2008年,县47,二类债务,17593,万元
2007年,县47,二类债务,14448,万元
2002年,县47,二类债务,410,万元
1998年,县47,二类债务,150,万元
1997年,县47,二类债务,140,万元
2010年,县48,二类债务,1809,万元
2009年,县48,二类债务,1367,万元
2008年,县48,二类债务,1374,万元
2007年,县48,二类债务,1284,万元
2002年,县48,二类债务,1449,万元
1998年,县48,二类债务,1596,万元
1997年,县48,二类债务,1627,万元
2010年,县49,二类债务,2116,万元
2009年,县49,二类债务,2156,万元
2008年,县49,二类债务,2740,万元
2007年,县49,二类债务,3506,万元
2002年,县49,二类债务,81,万元
1998年,县49,二类债务,115,万元
1997年,县49,二类债务,0,万元
2010年,全市合计,二类债务,142568,万元
2009年,全市合计,二类债务,127945,万元
2008年,全市合计,二类债务,128162,万元
2007年,全市合计,二类债务,152973,万元
2002年,全市合计,二类债务,92419,万元
2010年,县36,三类债务,159590,万元
2009年,县36,三类债务,111505,万元
2008年,县36,三类债务,98840,万元
2007年,县36,三类债务,115508,万元
2002年,县36,三类债务,52939,万元
1998年,县36,三类债务,13870,万元
1997年,县36,三类债务,206,万元
2010年,县37,三类债务,0,万元
2009年,县37,三类债务,0,万元
2008年,县37,三类债务,0,万元
2007年,县37,三类债务,0,万元
2002年,县37,三类债务,0,万元
1998年,县37,三类债务,0,万元
1997年,县37,三类债务,0,万元
2010年,县38,三类债务,86,万元
2009年,县38,三类债务,92,万元
2008年,县38,三类债务,100,万元
2007年,县38,三类债务,104,万元
2002年,县38,三类债务,73,万元
1998年,县38,三类债务,76,万元
1997年,县38,三类债务,83,万元
2010年,县39,三类债务,263,万元
2009年,县39,三类债务,253,万元
2008年,县39,三类债务,253,万元
2007年,县39,三类债务,253,万元
2002年,县39,三类债务,253,万元
1998年,县39,三类债务,253,万元
1997年,县39,三类债务,253,万元
2010年,县40,三类债务,260,万元
2009年,县40,三类债务,260,万元
2008年,县40,三类债务,262,万元
2007年,县40,三类债务,262,万元
2002年,县40,三类债务,316,万元
1998年,县40,三类债务,321,万元
1997年,县40,三类债务,321,万元
2010年,县41,三类债务,22420,万元
2009年,县41,三类债务,25330,万元
2008年,县41,三类债务,13120,万元
2007年,县41,三类债务,4880,万元
2002年,县41,三类债务,1200,万元
1998年,县41,三类债务,0,万元
1997年,县41,三类债务,0,万元
2010年,县42,三类债务,402,万元
2009年,县42,三类债务,410,万元
2008年,县42,三类债务,414,万元
2007年,县42,三类债务,467,万元
2002年,县42,三类债务,17,万元
1998年,县42,三类债务,19,万元
1997年,县42,三类债务,19,万元
2010年,县43,三类债务,11479,万元
2009年,县43,三类债务,10351,万元
2008年,县43,三类债务,9283,万元
2007年,县43,三类债务,11740,万元
2002年,县43,三类债务,6925,万元
1998年,县43,三类债务,0,万元
1997年,县43,三类债务,0,万元
2010年,县44,三类债务,2239,万元
2009年,县44,三类债务,0,万元
2008年,县44,三类债务,0,万元
2007年,县44,三类债务,2000,万元
2002年,县44,三类债务,0,万元
1998年,县44,三类债务,0,万元
1997年,县44,三类债务,0,万元
2010年,县45,三类债务,0,万元
2009年,县45,三类债务,0,万元
2008年,县45,三类债务,0,万元
2007年,县45,三类债务,0,万元
2002年,县45,三类债务,0,万元
1998年,县45,三类债务,0,万元
1997年,县45,三类债务,0,万元
2010年,县46,三类债务,1361,万元
2009年,县46,三类债务,1361,万元
2008年,县46,三类债务,1361,万元
2007年,县46,三类债务,1361,万元
2002年,县46,三类债务,880,万元
1998年,县46,三类债务,0,万元
1997年,县46,三类债务,0,万元
2010年,县47,三类债务,3820,万元
2009年,县47,三类债务,3520,万元
2008年,县47,三类债务,3520,万元
2007年,县47,三类债务,2070,万元
2002年,县47,三类债务,1800,万元
1998年,县47,三类债务,0,万元
1997年,县47,三类债务,0,万元
2010年,县48,三类债务,1816,万元
2009年,县48,三类债务,1946,万元
2008年,县48,三类债务,2271,万元
2007年,县48,三类债务,2696,万元
2002年,县48,三类债务,2300,万元
1998年,县48,三类债务,1650,万元
1997年,县48,三类债务,1650,万元
2010年,县49,三类债务,2750,万元
2009年,县49,三类债务,600,万元
2008年,县49,三类债务,0,万元
2007年,县49,三类债务,0,万元
2002年,县49,三类债务,0,万元
1998年,县49,三类债务,0,万元
1997年,县49,三类债务,0,万元
2010年,全市合计,三类债务,206486,万元
2009年,全市合计,三类债务,155628,万元
2008年,全市合计,三类债务,129424,万元
2007年,全市合计,三类债务,141341,万元
2002年,全市合计,三类债务,66703,万元
