合同编码,信贷客户编号,合同开始日,合同到期日,合同金额,保证人编号,保证金额,贷款余额,逾期余额,呆滞余额,呆帐余额
3205960001R200100098,3219960000000437,2001/11/28,2002/11/27,"400,000.00",3219960000000438,"400,000.00","400,000.00",0.00,0.00,0.00
32199600018199901120,3219960000000738,1999/10/19,2002/10/18,"10,000,000.00",3219960000000687,"10,000,000.00","10,000,000.00",0.00,0.00,0.00
32199600016199700505,3219960000000535,1995/12/1,1996/2/1,"50,000.00",3219960000000534,"50,000.00",0.00,0.00,0.00,0.00
32199600002199700784,3219960000000132,1993/3/13,1993/6/13,"500,000.00",3219960000000133,"500,000.00","500,000.00",0.00,"500,000.00",0.00
32198540001199700065,3219854000000034,1997/12/31,2005/12/30,"60,000,000.00",3219854000000007,"60,000,000.00",0.00,0.00,0.00,0.00
32059410012200100180,3219841000000098,2001/6/29,2002/6/28,"5,000,000.00",3219841000000090,"5,000,000.00","5,000,000.00",0.00,0.00,0.00
32059410012200100157,3219841000000140,2001/5/31,2002/5/30,"3,600,000.00",3219841000000095,"3,600,000.00","3,600,000.00",0.00,"3,600,000.00",0.00
32199600016199700352,3219960000000373,1996/10/8,1996/12/24,"200,000.00",3219960000000374,"200,000.00","175,000.00",0.00,"175,000.00",0.00
32059630012200100038,3205963000000015,2001/3/26,2002/10/11,"2,000,000.00",3205963000000012,"2,000,000.00","2,000,000.00",0.00,0.00,0.00
32059500025200100063,3205950000000029,2001/6/5,2003/6/4,"122,000.00",3205950000000019,"122,000.00","101,400.00",0.00,0.00,0.00
32059410012200100150,3219841000000104,2001/5/29,2002/5/28,"5,000,000.00",3219841000000089,"5,000,000.00","5,000,000.00",0.00,0.00,0.00
32059530001200000204,3219853000000156,2000/10/31,2005/10/30,"30,000,000.00",3219853000000152,0.00,"30,000,000.00",0.00,0.00,0.00
32059530001200000204,3219853000000156,2000/10/31,2005/10/30,"30,000,000.00",3219853000000162,"30,000,000.00","30,000,000.00",0.00,0.00,0.00
32199600002199700781,3219960000000132,1992/9/18,1993/3/21,"500,000.00",3219960000000136,"500,000.00","500,000.00",0.00,"500,000.00",0.00
32199600016199700544,3219960000000574,1994/12/15,1995/6/17,"50,000.00",3219960000000576,"50,000.00","50,000.00",0.00,"50,000.00",0.00
32059410061200100324,3219841000000146,2001/11/9,2002/5/8,"184,262.00",3219841000000123,"92,131.00",0.00,0.00,0.00,0.00
32198530018199900666,3219853000000048,1999/1/8,2000/1/7,"900,000.00",3219853000000049,"900,000.00",0.00,0.00,0.00,0.00
3205941001R200100338,3219841000000123,2001/11/30,2002/11/29,"3,000,000.00",3219841000000146,"3,000,000.00","3,000,000.00",0.00,0.00,0.00
32199600002199700782,3219960000000132,1992/11/13,1993/5/13,"300,000.00",3219960000000133,"300,000.00","300,000.00",0.00,"300,000.00",0.00
32059540016200100176,3219854000000034,2001/6/28,2002/6/27,"30,000,000.00",3219854000000048,"30,000,000.00","30,000,000.00",0.00,0.00,0.00
32059410011200100187,3219841000000054,2001/6/29,2002/6/28,"4,000,000.00",3219841000000055,"4,000,000.00","4,000,000.00",0.00,0.00,0.00
3205941001R200100340,3219841000000124,2001/11/30,2002/11/29,"2,000,000.00",3219841000000123,"2,000,000.00","2,000,000.00",0.00,0.00,0.00
32198500002199700015,3219850000000021,1987/4/28,1988/12/23,"700,000.00",3219850000000022,"700,000.00","250,000.00",0.00,0.00,"250,000.00"
32199640011199700019,3219964000000018,1996/3/20,1996/9/25,"30,000.00",3219964001000017,"30,000.00","30,000.00",0.00,"30,000.00",0.00
32199600011199700208,3219960000000176,1995/12/26,1996/6/26,"150,000.00",3219960001000224,"150,000.00","150,000.00",0.00,"150,000.00",0.00
32198540001199700072,3219854000000032,1993/11/29,2000/11/28,"29,150,000.00",3219854000000007,"29,150,000.00",0.00,0.00,0.00,0.00
3205953001W200100078,3219853000000042,2001/8/17,2002/8/16,"800,000.00",3219853000000140,"800,000.00","800,000.00",0.00,0.00,0.00
32199600016199700354,3219960000000377,1996/10/31,1996/12/10,"400,000.00",3219960000000378,"400,000.00","370,000.00",0.00,"370,000.00",0.00
32199600011199700142,3219960000000141,1995/12/27,1996/6/26,"300,000.00",3219960000000142,"300,000.00","300,000.00",0.00,"300,000.00",0.00
32059570011200100020,3219857000000030,2001/4/12,2002/4/11,"4,000,000.00",3219857000000031,"4,000,000.00","4,000,000.00",0.00,0.00,0.00
32199600012199800830,3219960000000641,1998/12/18,1999/12/17,"1,800,000.00",3219960000000642,"1,800,000.00","1,800,000.00",0.00,"1,800,000.00",0.00
32059410044200100245,3219841000000054,2001/9/7,2001/11/15,"200,000.00",3219841000000055,"140,000.00",0.00,0.00,0.00,0.00
32199600016199700027,3219960000000038,1992/7/1,1992/12/21,"50,000.00",3219960000000039,"50,000.00","24,716.00",0.00,"24,716.00",0.00
32199600016199700806,3219960000000532,1991/2/4,1991/9/30,"100,000.00",3219960000000533,"100,000.00","100,000.00",0.00,"100,000.00",0.00
32059410011200100136,3219841000000123,2001/5/23,2002/5/22,"2,000,000.00",3219841000000124,"2,000,000.00","2,000,000.00",0.00,0.00,0.00
32199620014199800891,3219962000000237,1998/12/31,1999/12/20,"4,000,000.00",3219962001000258,"4,000,000.00","4,000,000.00",0.00,"4,000,000.00",0.00
32199600016199700504,3219960000000535,1993/12/9,1994/6/21,"60,000.00",3219960000000534,"60,000.00",0.00,0.00,0.00,0.00
32198530002199800543,3219853000000114,1998/3/19,2003/3/18,"10,500,000.00",3219853000000018,"10,500,000.00","10,300,000.00",0.00,0.00,0.00
32198540001199700074,3219854000000032,1995/5/15,2002/6/27,"35,000,000.00",3219854000000007,"35,000,000.00",0.00,0.00,0.00,0.00
